corId,corpus
42,"At the same time, the company also won a two-million-dollar contract for maintenance of the trains for the next seven years."
43,We are planning to implement a revised paper-recycling program for all branch offices effective next month.
44,"Mr. Ken O'Hara, Chief Executive of ESB, after more than 40 years service with the company, has announced his decision to retire in July ."
45,"Dieting during pregnancy is never recommended , as it can limit the nutrition available to the baby."
46,Open Society Institute has generously offered to sponsor a number of participants from developing countries for attendance at the OA Workshop.
47,"If you would like a demonstration of the new product, just ask the BKM staff at the booth."
48,The sales manager has been asked to lead a discussion of the Asian market's future outlook during the board meeting tonight at 7 p.m.
49,NDRC is the national authority that is in charge of setting guidance tariffs that are subsequently implemented by the local authorities.
50,"While the CEO was giving a speech to the newly hired employees at the training session, a secretary took a picture of him."
51,The company had begun working on the project for the main office even before it chose the land to build on.
52,"Reservations are made on a first-come, first-served basis and are subject to room availability."
53,We expect our sales to rise sharply to around $ million over the next 24 months.
54,Ruth Akorful is a baker and has been managing her own business for several years.
55,The Leighton Group is a service-based organization and our success is dependent on the quality of the service we offer.
56,"After months of negotiations , we are pleased to announce that the company and your union have reached an agreement that resolves 9 out of 1Opending grievances."
57,"Michael, the former CEO of the company, is looking forward to seeing many friends and acquaintances at next year's show in August."
58,The building built by Emaar Properties was originally scheduled to be completed at the end of this year but the target date has been changed due to revisions in the building's design.
59,"Following the visit to your production facility in Hong Kong next week, we will create a comprehensive factory automation program to meet your company's needs."
60,Either the marketing director or the sales manager will represent Centum Construction Inc. at the Bexco Architecture Conference.
61,Your new coffee machine comes with detailed instructions which will help you use it more effectively.
62,"Since she joined our company three years ago, Mrs. Mashimo has greatly expanded our customer base."
63,"Neobucks has more than 3, stores in the United States and 25 other countries, and its logo is universally recognizable."
64,"If you would like to comment on a recent experience with us, please complete a customer satisfaction survey before leaving your room."
65,"As space is limited, be sure to contact Bill in the personnel department a minimum of three days in advance to register for a workshop."
66,"As a manager, you are also responsible for maintaining a work environment that is comfortable and ergonomically safe."
67,"The tree-lined trails and steep slopes make Whistler Mountain a dangerous place to ride, even for experienced cyclists."
68,Many people prefer to shop at The Bay Department Store as it offers a lifetime warranty on all purchases.
69,"In an unprecedented act of generosity, Patty DeDominic, the founder of DeDominic & Associates, pledged a $1-million donation that will help local charities."
70,Satyam Computer Services Ltd. has extended the deadline for submitting applications for the marketing manager position to April 13th.
71,"If mechanical problems occur at the time of your scheduled trip, alternatives will be discussed with you whether to reschedule the trip for a later time."
72,All work will be discussed in detail before a written estimate is given to any client.
73,We have collaborated with community groups and business partners to support local economic development projects.
74,All sales representatives should know detailed information about the product they are selling and be able to answer any questions.
75,Mountain Equipment Co-op. has deeply discounted their winter items to make room for the new spring merchandise.
76,"While in a foreign country, it would be wise to take only what you will absolutely need during the day and leave anything else in the safe in your hotel room."
77,"At the annual stockholders' meeting, large printed material will be made available on request for those with visual impairment."
78,A recent survey indicates that young women in particular are showing a strong preference for online shopping.
79,The office manager is responsible for supporting staff members and ensuring that their work is done efficiently.
80,"After Rachel had worked for the company for more than 10 years, she was finally promoted to a managerial position."
81,Mr. Jackson expressed a strong desire to increase both the company's revenue and the number of employees.
82,Kelvin Video System's most recent model produces vivid images on its screen.
83,"For further information, please don't hesitate to call our customer service center at 1-."
84,Entries for the annual GRR contest should be submitted by no later than December 1st.
85,Clients of Bank of America can easily gain access to their accounts 24 hours a day throughout the year.
86,The president of the company gave credit for the increased number of sales to the excellent work done by his staff.
87,"Although the owner of the company wasn't able to attend the meeting, his secretary was there to take important notes for him."
88,The Wall Street banks collapsed because of the uncertainty that investors had about the American economy.
89,Wiping out the company's data on retiring workers' computers may prevent any leak concerning crucial information aboutthe company.
90,"After a long speech about the importance of working hard, Mr. Glenn still reminded his workers to work hard every day."
91,EMI requires all of its employees to make their own arrangements for their business trips.
92,The number of flood victims temporarily residing in the government-supplied camps has just exceeded a thousand.
93,"Before obtaining a license , applicants are required to complete 40 hours of driving with an adult over 21."
94,My application was to be reviewed primarily because I attended the company's summer internship course.
95,All the temporary workers are supposed to keep track of the hours that they work.
96,Ms. Hong was forced to resign as CEO of the company quickly since investors weren't pleased with her recent performance.
97,All the employees at SEI Corporation are invited to the meeting on the new internal communications system that the company is about to bring in.
98,"Although the marketing department submitted the initial proposal, it has been edited many times since then."
99,The president has just realized that the launch of our new product must be postponed owing to unfavorable conditions in the market.
100,"The contract indicates that if your car breaks down on the road, you can get immediate roadside service within one hour."
101,"The general manager made it clear before the meeting that employees can ask questions immediately after the meeting, but they must remain quiet throughout the meeting."
102,Ms. Kempbell runs a company that builds studios in both professional music agencies and people's houses.
103,"Although Jack was concerned that his coworker would be very nervous on his first day of work, he was in fact quite confident, which surprised Jack."
104,The CEO addressed the future of the company so passionately throughout the conference that he didn't even realize that he was losing his voice.
105,Job interviewers generally evaluate the applicants' working abilities rather than their personalities .
106,"As much as the Korean economy has developed - tremendously in a short period of time, there are still many problems that our nation is facing."
107,The manager's speech on hard work was not effective because he is not considered a hard worker to the audience.
108,The new novel by Steven Kim will be published no later than the 18th of November according to a reliable source.
109,"As we have had workers who quit after working for a short period of time, we need someone who can work consistently for at least a year."
110,"While Jason found the proposal from the other company attractive , he ultimately turned it down to keep the relationship with his original partner company."
111,Maverick Manufacturers has maintained the highest safety standards of any company in its industry.
112,Peter had to work during my vacation because the matter was so urgent - that it couldn't wait for my return.
113,It is very difficult for the head of a company to fully understand the different characteristics of each employee.
114,Most workers agree that extending the number of work hours is not going to increase the company's revenue because it actually results in lower work efficiency.
115,"Although the company had a tight budget, they invested more money in their new product because they believed it was beneficial in the long run."
116,"Although Jackson Inc. invests a large amount of money in advertising, its competitor, James Inc. doesn't invest as much in it."
117,"Due to the contractual obligation , the company had to keep supplying the raw material for a cheap price even though there has been a rise in the overall market price."
118,"Because the head executive of YIB Inc. checks every single condition on contracts meticulously -, he never makes a mistake when signing the final copy."
119,"We have been working on updates for the program, and you should receive the updated information in January ."
120,Frank Truner who was interviewed on Friday will be assigned to either the research department or the marketing department.
121,The author's comments are considered her own and are not necessarily reflective of the view of the magazine publisher.
122,All equipment in the gym is checked regularly to ensure that it is safe to use.
123,The Calgary Inn attaches importance to the cleanliness of its rooms and always offers good service at reasonable prices.
124,"The management course will be offered on Monday, October 17, from 9 a.m. to 4 p.m., while the law course will be taught on Tuesday, October 18, from 9 a.m. to 4p.m."
125,"Giessen is centrally located in Germany and can easily be reached by plane, train, and car."
126,"To cut down on electricity wastage, we use energy-saving light bulbs and remind employees to turn off their computers when they leave the office."
127,"Our online service allows you to view your information, make address changes, review account history, and request documents."
128,It is important that managers draw in the best sales people to sell the products.
129,"Eli Clare, whose latest book was published by Local Home Press, is nominated for the  Lambda Literary Award."
130,Holders of old-style CIV tickets are required to show their tickets to a staff member before boarding the train.
131,Office supplies are ordered through the central purchasing department and are typically delivered the next business day.
132,"If students are unable to arrive by the date specified on their visa documents, they will be sent home and will have to restart the application process."
133,Barbuda's economy remains overwhelmingly dependent on tourism and on visitors who fly to the islands from all over the world.
134,We encourage frequent customer visits during all phases of the project to facilitate communication and to ensure that the project goals are being attained successfully.
135,"Because storage space is limited, please notify Benjamin Hatton if you no longer need your locker."
136,Our employees can receive free admission to the Joslyn Art Museum as well as discounts to the museum's gift shop.
137,"Considering her ability, dedication, and expertise, I am confident that Ms. Yoko will be the most suitable person for the position of marketing manager."
138,The advisory committee effectively addressed the president's concerns about the new building project.
139,"Nicholas Sarkozy, president of the organization, is hosting an event on May 4, to mark the 90th anniversary of the founding of the Red Cross."
140,"Temporary and part-time employees are not eligible for paid holidays; if they work on a holiday, such employees will receive their regular wages."
141,The Department of Parks and Recreation has outsourced the maintenance of public restroom facilities to Advance Management Inc.
142,"Although Mr. Broadwater was the most qualified of all the applicants for the position, the job was given to another."
143,"In keeping with company policy, protective clothing must be worn at all times during your visit to our plant."
144,"Due to growing seasonal demand, the store owner decided to hire five additional sales clerks."
145,"With more than 34 years of designing some of the most impressive buildings in Calgary, the reputation of the firm is well deserved."
146,"Should an unexpected delay in shipping occur, we will notify you by email of the new projected shipping date and provide you with an opportunity to keep your order or cancel it."
147,"In celebration of National Volunteer Appreciation Day, Betsy Johnson Regional Hospital will host a luncheon honoring its  hospital volunteers tomorrow."
148,"Established two decades ago with the vision of providing cost-effective office equipment, we are today one of the world's leading manufacturers in the field."
149,"Once the application is complete, our office staff can check your application to ensure everything is filled in completely and all documents are included."
150,"In order to process a refund or exchange, you must notify us within two weeks of receiving your shipment."
151,One of our service department staff would be glad to assist you with the maintenance of your vehicle.
152,"There are two distinct business units within Glocell, each focusing on different customers and their needs."
153,Manufacturers who make products available to the public are held responsible for the injuries their products cause.
154,The TIPH employees are identifiable by their distinctive khaki uniforms and the special emblem on their uniforms and vehicles.
155,Britax's new infant car seat offers a host of comfort and safety features designed to keep your child secure while traveling in the car.
156,Anyone applying for the position of marketing director is asked to submit a resume along with two letters of reference.
157,The enclosed coupons will entitle the bearer to a ten percent discount on any of our products.
158,"Ideal Safes & Solutions, with its seven years of experience, provides reliable and durable safes and cabinets."
159,"After Jonathan revised the proposal for the project more than five times with his colleague, he finally handed it over to his boss."
160,"Since Carol, my boss, was not satisfied with my work, she fired me and gave me one month's notice."
161,The company's ceremony only took an hour and a half because they skipped the boring opening speech and some unnecessary  formalities.
162,"In the past two years, the number of car accidents has gone up by 15%."
163,"Due to heavy traffic, John has to wake up early every morning in order to make it to work on time."
164,Max complained to his boss that it's been 10 years since the office has been renovated and it needs some changes in order to promote a better work environment.
165,"Although Peter hurried up and called Kevin to tell him that the meeting was canceled, Kevin was already waiting for the representatives from the partner company."
166,BWS Corporation's employees were advised to attend the training session because only those who completed the session would be considered for the promotion.
167,"When you invest your money, you have to choose either to invest in high-risk opportunities or low-risk ones."
168,Peter was glad when he received a text message from the hospital reminding him of his appointment on Thursday because he almost forgot about it.
169,Jane could not apply for the job she desperately wanted because it required a high level of English.
170,"Jason attempted to utilize some new equipment at the factory, but he had trouble figuring out even where its start button was."
171,"Because the store was centrally located, it had a huge advantage in exposing its goods to the public, which had an impact on its increase in sales."
172,"The company announced that it would merge with Tyrell Incorporated, but it said the opposite only two days later."
173,Justin's Packaging company occasionally receives returned products because the new machine that they purchased has been creating problems for the past couple of months.
174,"While Kim was waiting for the delivery of the product that she ordered a month ago, she realized that what she ordered was actually not the one that the company needed."
175,"According to the interviewer, the position requires a high familiarity with marketing theory."
176,Jason's colleagues were jealous of him because his boss helped him with the work so much that he nearly had nothing to do but handed in the completed work.
177,"Although people often believe that coffee has too much caffeine, in reality, it's relatively low in caffeine compared to some energy drinks such as Redbull, Monster and Rockstar."
178,Carl thought that the conference was very informative and actually learned a lot more than he'd learned at university.
179,It is necessary for superiors to give a fair evaluation of their workers because it has a huge impact on their future career.
180,"Because Jack had served the company as the general manager for more than 20 years, there was not one employee who didn't know him."
181,"For the first three months, Tim's boss couldn't find any flaws in him, but he realized that Tim actually has a very hot temper when he got into an argument with his co-worker."
182,"Although the company aimed for a greater number of sales by lowering the price of their products, it faced a huge loss in revenue because they couldn't reach their expected number of sales."
183,"A professional soccer player, Jinsu became so competitive in the game that he ended up earning himself a yellow card for his actions."
184,Kate was hoping that Harry would correct his mistakes on the proposal before submitting it after she told him which mistakes she had found while going over it.
185,The factory wasn't able to produce as many products as it was supposed to because the supplier couldn't deliver the raw materials on time.
186,"Because the head of the company was obsessed with the company's profits from the previous year, he couldn't focus on its profits for the current year."
187,"In order to promote the purchase of its new products, the company spent a great deal on advertising."
188,"Noticing that the stock value was continually decreasing, the biggest shareholder sold all of his stocks for a reasonably low price."
189,"With the strong visual effects of the presentation, the general manager sounded very persuasive in his meeting held with the partner company."
190,"Because of the sudden death of the CEO, the company's stock value dropped dramatically and didn't recover for several years."
191,There are still immense job opportunities in the Unites States because there are many small businesses around the country.
192,"Although some customers claimed that the company's customer service providers are impolite, HISL Corporation totally ignored the claims."
193,"As a result of working for 14 hours continually, I was able to create an array of products in different colors."
194,"HIB Investment Bank, whose shareholders were passionate about getting a new CEO, has been going through some chaotic changes recently."
195,The head of the department has specified that all employees are required to hand in their vacation plans before the end of the month.
196,Jim once again made the same mistake by misspelling the names of the people who were supposed to attend the conference.
197,The president seemed very upset when the interviewer asked him a very sensitive question about his family history.
198,"When the acid indicator turned red, Tony realized that he should not touch it without any protection on his hands."
199,Dr. Braun will write recommendation letters only for interns who master every task expected of a junior copy editor.
200,The appointment of a new chief financial officer at Veracore Industries was announced on April 6.
201,"After a six-month probationary period, city employees are eligible to take vacation days."
202,Ms. Larensky is applying with several different agencies to obtain the permits required for the outdoor art event.
203,This letter serves as confirmation that we have received and processed your credit-card cancellation request.
204,"Many people at the company have industry experience, but only a handful of us can see the future importance of current trends."
205,The new furniture for the conference room is scheduled to be delivered early on Tuesday.
206,"After working in Canada for ten years, Cha Joon has returned to Seoul to plan the opening of an upscale restaurant."
207,Toucan Database System is designed to perform a detailed financial analysis automatically
208,The city council approved the bill to increase funding for Its road improvement project
209,The Neighborhood Involvement Program honors residents who volunteer their time to help Egin City.
210,Several architects proposed intriguing design plans for the Hadler Building's addition.
211,The updated training program is limited to site supervisors within the Casey Medical Care system.
212,Mr. Koizumi must complete the cost estimate before he leaves for the conference.
213,"Although the new X printer is similar to other models, it costs only half as much."
214,"To address budget deficits, Lunere County plans to limit spending and promote tourism."
215,Operating instructions are posted above the printer so you can easily refer to them.
216,"The Vickwell Historical Museum will be closed for renovations beginning on Monday, September 10."
217,Finley Plant Nursery implements the very latest agricultural techniques.
218,"According to the compensation guidelines, employees who regularly complete their work before it is due may receive bonuses."
219,Thank you for your participation in the Foxdale Apartments community enhancement survey.
220,Solar energy has become a key factor in the development of additional energy resources throughout the region.
221,The LPN auto company has issued a special report to address concerns regarding the fuel efficiency of its vehicles.
222,This year's company retreat will focus on techniques that help people think more creatively
223,Employees must submit requests for time off to Ms. Cheung for approval.
224,Board members are free to discuss the issues among themselves before the formal votes are taken.
225,"Judging by ticket sales, Fen Jiang's first attempt at directing a film was clearly a success."
226,"While the Nolan Credit Union parking area is now open to the public, a section has been reserved for credit union employees."
227,Pharmacy technicians are responsible for verifying and processing prescriptions as soon as they are requested by a physician.
228,All laboratory personnel must attend the clinical safety workshop to ensure compliance with new regulations.
229,The travel documents will be processed as soon as they are received.
230,"To change your seating assignment, visit the reservations page on our Web site."
231,"The president of Somchai Bank rides his bicycle to work every day, except when it rains."
232,Agents who have not yet registered for next week's Insurance Excellence Forum must do so immediately .
233,Matos Realty has developed two different methods of identifying undervalued properties.
234,Wearing lab coats and safety goggles is a requirement for all laboratory workers.
235,The manufacturer recommends that the filter be cleaned at least once a month for optimal performance.
236,"Before selecting a Dagle steel door, measure the door opening carefully ."
237,Okpara employees should contact their supervisors by 10:00 A.M. if they expect to miss a day of work.
238,The director has requested a comparison of the costs of short and long-term rental agreements.
239,Ms. Yi of Lakesview Catering says that five trays of appetizers are more than enough for fifty guests.
240,Canada's Pan Rail Corporation will no longer transporting freight into the United States.
241,"According to experts, Flash Maxe dishwashing detergent consistently delivers exceptionally results."
242,"When picking up identification badges, employees need to show proof of employment at Ekmekci Associates."
243,Roxy Koenig is actively seeking a new venue for her summer concert since the Hazelton Music Hall is being renovated.
244,Prospective tenants must provide at least two references along with their application.
245,"While Ms. Molinsky has little experience in technical support, her knowledge of computer systems is extensive ."
246,"Please refer to the attached flowchart, which describes the division of responsibilities among the various leadership positions."
247,A good project manager strives to enhance communication between departments whenever possible.
248,"Same-day appointments can usually be scheduled, although not necessarily with your usual doctor."
249,Mr. Vieira is credited with introducing several changes that have helped stacatti Stationery increase business.
250,"In the photograph, President Tang can be seen standing opposite Dr. Dervishi."
251,The new location of the Bentler Company is easily accessible by car or bus.
252,Arise in energy prices will mostly affect businesses whose energy consumption is high.
253,City officials have assured Harmon Avenue businesses that street repairs will be completed within 48 hours.
254,"Our department would have attended the policy meeting last Monday, but we had a scheduling conflict."
255,"Given the effectiveness of Maisey Stanton's leadership on the town council, she will likely win next week's mayoral election."
256,Barner Corporation's record profits resulted from the recent initiative to identify operating efficiencies.
257,Customers still tend to place short notices in the classified section even though there is no longer a mandated word limit.
258,All shelves in the holiday merchandise section need to remain fully stocked.
259,Access to the exercise room is included with your stay at the Bay land Hotel.
260,Mr. Okello's promotion means that he will supervise a larger team.
261,"Juniper Worldwide, Inc., will be changing payroll service providers on January 1."
262,The Valletta Visitor Centre offers da ly boat rides along the City's historic waterfront
263,Ultrora Action's T-Pro tennis shoe is the lightest one on the market right now
264,"Duram Biscuit Corp, is able to negotiate good deals with its wholesale suppliers."
265,"At Razani Marketing, there are many opportunities for professional advancement."
266,Parking on Dahakno Street will be prohibited for the next few days because of emergency repairs to water lines
267,Accountants applying for the training must obtain a referral from their supervisor
268,The evaluation report will be completed only after the auditors inspect the laboratory.
269,"In light of our recent expansion, it will be necessary to hire another administrative assistant by June 1."
270,"Due to low registration, the communications workshop scheduled for July 2 will be postponed until further notice."
271,The initial response to the beta version of the software allows US to be fairly optimistic about future product sales.
272,Orvale School's business mentors are retired executives with a wealth of expertise across a wide range of industries.
273,Thank you for your interest in our updated line of compact refrigerators.
274,The judges may begin to review the entries now that the deadline for submitting slogans has passed.
275,"On his daily radio show, Trade Biz, Antonio Kosior analyzes business news from all over the globe."
276,The purchase of The New Lagos Reporter will not lead to changes in editorial staff.
277,Professor Reginald Layke's proposal for an additional course in business management was approved in a surprisingly short time.
278,Carideli Science Museum trustees are expected to be aware of all the museum's operations.
279,"With the completion of its airport, Honokai Island's tourism economy has improved dramatically."
280,Brock's Bistro has requested that we specify the number of dinner guests by Monday.
281,"Doi Textiles, Inc., is well-known throughout the fashion world as being a trendsetter for young women's clothing."
282,{D) solicitation  A reception will be held to introduce the newly appointed director of marketing to the employees of Kaulana Industries.
283,"To fill two vacant positions on its benefits committee, Adidion Labs is seeking employees who are ready for a challenge."
284,The software for tracking orders has been markedly successful as it has greatly decreased time spent on the task.
285,"Lately the community sports program has had a surplus of volunteers, most of whom are students."
286,Please use the attached survey to let US know how enjoyable your recent stay at the Copper Mine Inn was.
287,Sales clerks at Sylla Bazaar receive additional pay when they work in the evening.
288,The use of high-quality yet inexpensive machine parts led to a decrease in costs for Mr. Kim's factory.
289,"Because humidity can damage wood, the climate in furniture storage units must be controlled."
290,The updated safety manual includes guidelines for the entire factory.
291,A limited amount of time for questions will be granted following Mr. Tanaka's speech.
292,"At Correia Electronics, we are continually researching appliance technology."
293,"At Imprint Eyewear, most prescription eyeglasses can be made within two business days."
294,The first prize presented was the Kozar Award for excellence in educational toy design.
295,"Ms. Ling is not here today, but she typically attends every library board meeting."
296,Investing in as many -- properties as possible can be risky but is often lucrative
297,"After interviewing Ms. Garcia personally, the company president finalized the committee's decision to hire her as chief financial officer."
298,Construction of the Yukimura Building has been postponed because of modifications in the architectural plans.
299,Please inform Ms. Montgomery of any adjustments to your office supplies order before 2:00 P.M.
300,All Buehler Energy customers are encouraged to sign up for electronic statements instead of paper ones.
301,"In her letter of reference, Ms. Eisner indicates that Mr. Patel's ability to work well with others is his most admirable quality."
302,"This Friday, all employees may depart two hours before closing unless their manager requires them to stay."
303,The Science Career Fair is an exciting opportunity for job seekers to meet with recruiters from major companies in the field.
304,The songs on Sophia Vestra's new album are among the most innovative musical arrangements of her career.
305,The research indicates that tourism in Chestnut Valley has remained stable over the past two years.
306,"Online orders are handled by Mr. Clark's team, while regular mail orders are overseen by Ms. Adauto's group."
307,"After the suggested upgrades have been implemented, the production process should run more efficiently."
308,"Panjan Air, an airline based in Singapore, is offering budget flights to Bangkok and Jakarta."
309,"Mesmio, provider of premium television content, welcomes specific ideas for improving our service."
310,The conclusions from our analysis turned out to be directly applicable to the budget problem.
311,The proposal to transform the vacant land on Spring Street into a community garden will be voted on this Monday.
312,"After quality control inspectors certify that all specifications are met, the product can be shipped."
313,The vast meadowlands surrounding the museum are designated as wildlife habitat.
314,Each one of Mitesh Sandu's international performances was filmed for the documentary.
315,New tax incentives reward local businesses that decrease their water consumption.
316,"Based on new data, Min-Soo Trucking's proposal to expand its business to Southeast Asia would be only marginally successful."
317,Mr. Ashburton has been highly recommended by all three of his references.
318,Mr. Choi wants to know when the illustrations will be ready for his review.
319,The project meeting has been rescheduled for tomorrow because of the bad weather.
320,Smooth Tek's newest software makes it much easier for business owners to create newsletters.
321,"By opening offices in London, Paris, and Madrid, Sedgehill Ltd. has continued its growth into markets overseas."
322,"Lf the kiln's heat is set too high, the ceramic objects inside may be ruined"
323,The National Overview is the fourth most widely distributed newspaper in the northeastern region.
324,"Dr. Lin, the keynote speaker at this years Southeast Dentistry Convention, invented several groundbreaking dental devices."
325,Rose s Bistro will close next month due to escalating operating expenses .
326,"During yesterday's meeting, Ms. Milne offered her congratulations to the sales team for their excellent results this quarter."
327,The employee satisfaction survey results are likely to differ among departments.
328,The course taught by Prof. Brennink is intended for those interested in medical or health-related careers.
329,"Starting September 1, the accounting department will issue travel reimbursements separately from biweekly paychecks."
330,The planned construction of several new office buildings in Newbury has created a sizable demand for skilled workers.
331,The new computer security program allows users to monitor any suspicious activity on their account.
332,The expansion of the Kawagoe factory has had a significant impact on Inagi Technology employees' productivity.
333,Please review the repair estimate carefully as soon as it has been received from the maintenance department.
334,Responsibilities of the marketing assistant include coordinating focus groups and writing detailed reports.
335,The product development team for Herbeve Cosmetics is considering a package redesign to try to increase sales.
336,"Because of an increase in small, individual furnaces, glassblowing has become a more accessible and popular art medium."
337,Our investment in solar energy was a key factor in achieving energy independence.
338,Payments made to your account after the invoice was generated are not reflected in the balance shown.
339,See our media kit for facts and information regarding our line of lighting equipment.
340,The lawyers report that the merger was successfully concluded thanks to last-minute negotiations.
341,Mr. Hong will outline the procedures for handling customers' confidential information.
342,"Last year, the Fromley Company established an internship program for trade school students studying electrical technology."
343,"Seldom in the news, the Honorable Cynthia Rengle is now making headlines with her proposal to drastically reduce local taxes"
344,"Despite being the audience's least favorite film at the star Film Festival, Lost Dog nevertheless won the critics' award for best animation."
345,We found the staffplex payroll management system to be the only one extensive for our needs.
346,Ms. Mills has correctly predicted that sales would increase productively as the company's radio advertisement continues to air.
347,"The newspaper editor, Mr. Lim has invited a distinguished architect to write about his famous buildings."
348,All employees are required to attend both the morning and the afternoon sessions of the training workshop on Friday.
349,"This course provides students with the tools for thinking about ways to enhance collaboration among races, ethnic groups and social classes."
350,The new employee orientation will be held in one of the Training Facility classrooms and it will begin promptly at 8:00 a.m.
351,Employees who wish to participate in the FSA Program must submit their completed paperwork to the Human Resources Department by Dec. 16.
352,UPS guarantees the delivery of your important shipments from the U.S. to more than  international cities.
353,Old magazines and important papers are stored on the top shelf in labeled files.
354,"The Sharp Hotel has decided to offer a free shuttle service to the beach every day from 8 a.m. to 9 p.m., leaving every hour."
355,The committee recommended developing more systematic procedures for the management of employee performance evaluations.
356,It will be necessary to develop an updated employee manual incorporating the many changes that have occurred over the past twelve years.
357,"In preparation for the Christmas shopping season, the local fire department has started inspecting malls and other business establishments in the Busan area."
358,Mr. Lim could solve the problem with the Sonya  Software easily after reading the enclosed manual.
359,"When you initiate conversations with your new employees, greet them personally to make them feel comfortable and listen with interest."
360,Infosys Technologies Ltd. has instituted an annual award of $5 million for Korean scientists who have achieved excellence in promoting research in biotechnology.
361,"During the meeting, agenda items are discussed by the board of directors and minutes are taken by the secretary."
362,Please forward the message from the advertising agency in Busan to Mrs. Hwang's office directly.
363,The automobile industry is becoming increasingly reliant on computers to improve efficiency and reduce costs.
364,An increasingly large number of our customers prefer the payment convenience of debit cards.
365,"Ms. Kennedy was given the responsibility for managing the downtown building project, which was overseen by the board of directors."
366,"Recommendations for the prize will be considered by the committee, but are not necessarily required to receive it."
367,"When renting a car, it is important to take time to inspect the car thoroughly and document any damage including minor scratches."
368,Ms. Jespersen is pleased to accept your invitation to become a member of the Washington Community Reinvestment Association.
369,The Family and Medical Leave Act requires employers to grant employees up to 12 weeks of unpaid leave a year for family medical emergencies.
370,"Since pension benefits may be a major source of your retirement income, you should carefully consider the following options before making your decision."
371,The marketing team members are supposed to be on time for tomorrow's advertising planning meeting.
372,"Because the number of staff registering for the seminar was inaccurately estimated, Mr. Kim had to book a larger meeting room."
373,"Before agreeing to the terms of use, please know that membership is not free, but, we do offer many different membership rates."
374,We are planning to launch the new product throughout the country as soon as a reliable distributor and a wholesale dealer are found.
375,"The North East is one of the best regions in which to start a new business, according to Business and Enterprise North East statistics."
376,"The affordable land prices, good drainage and excellent soil conditions have been conducive to the high agricultural output of our region."
377,"While the supervisor is responsible for preventing injuries, each worker must be attentive to their personal safety, in addition to the safety of their coworkers."
378,Pioneer Steel guarantees that all information gathered through this website is strictly confidential and used only by Pioneer Steel.
379,"No matter how busy they are, all workers at the factory are encouraged to take short breaks every 50 minutes."
